     X         I1 (Y=0.2522)     Error1      I2 (Y=0.3649)     Error2      I3 (Y=0.4692)     Error3      I4 (Y=0.5576)     Error4      I5 (Y=0.6193)     Error5      I6 (Y=0.7467)     Error6      I7 (Y=0.8707)     Error7      I8 (Y=0.9907)     Error8       I9 (Y=1.106)     Error9      I10 (Y=1.217)    Error10      I11 (Y=1.321)    Error11      I12 (Y=1.420)    Error12      I13 (Y=1.513)    Error13      I14 (Y=1.598)    Error14      I15 (Y=1.676)    Error15      I16 (Y=1.749)    Error16    
-1.72405E+001   6.65295E-005   3.80746E-005   5.93771E-005   2.68338E-005   4.21203E-005   2.05593E-005   8.58497E-005   4.06231E-005   2.78686E-005   4.79118E-005   5.86503E-005   3.52752E-005  -2.16681E-005   2.08008E-005  -1.62991E-005   2.55584E-005   1.36010E-005   2.65164E-005  -7.70908E-007   2.06060E-005   1.65800E-005   2.99182E-005  -1.92917E-005   2.72849E-005  -1.99875E-005   2.95298E-005   2.10770E-005   6.06497E-005  -6.43612E-005   6.14085E-005   4.43546E-004   1.56157E-004
-1.71429E+001   6.23176E-005   5.57137E-005   3.87374E-005   3.90807E-005   1.17010E-005   2.96793E-005   9.04760E-005   5.96479E-005   1.69035E-004   7.54569E-005   4.10136E-005   5.09784E-005  -2.84728E-005   3.01464E-005  -3.72327E-005   3.64922E-005   2.26583E-006   3.83174E-005  -3.33932E-005   2.86220E-005  -3.27372E-005   4.15433E-005   7.54134E-005   4.43676E-005  -2.05800E-005   4.32041E-005   1.12172E-004   9.29298E-005  -3.42386E-005   9.11670E-005   4.14594E-004   2.27864E-004
-1.70452E+001   9.44944E-005   6.22050E-005  -4.15657E-005   4.22069E-005   5.48460E-005   3.35204E-005   1.80604E-004   6.84323E-005  -1.39959E-005   7.58039E-005  -5.08675E-005   5.19637E-005  -5.88543E-006   3.44302E-005   5.34450E-005   4.46529E-005   6.97938E-005   4.57820E-005   3.76055E-005   3.53085E-005  -6.86062E-005   4.39776E-005   6.96131E-005   4.88092E-005   1.50350E-004   5.61315E-005   1.56740E-004   1.04973E-004  -3.68875E-005   1.00681E-004   1.03917E-004   2.38013E-004
-1.69475E+001   6.80381E-005   6.69745E-005   2.05648E-005   4.66504E-005  -2.78232E-005   3.49074E-005  -8.25870E-006   6.85696E-005   3.55353E-005   8.45913E-005   1.14597E-004   6.47798E-005  -8.74528E-006   3.72081E-005   7.63654E-006   4.61445E-005  -1.93846E-005   4.47288E-005  -3.30579E-005   3.43464E-005  -4.17430E-006   5.14538E-005   2.21353E-006   4.91860E-005   2.69564E-005   5.45051E-005   1.26166E-004   1.12298E-004   6.36898E-005   1.14260E-004  -4.90772E-005   2.50356E-004
-1.68498E+001   2.84446E-005   7.34226E-005   1.68234E-005   5.16926E-005   3.79966E-006   3.93518E-005   6.94974E-005   7.87097E-005  -3.52855E-005   9.01109E-005  -5.83941E-006   6.52141E-005  -9.79180E-005   3.57497E-005  -4.68139E-006   5.04810E-005  -3.80113E-005   4.84067E-005  -1.44948E-005   3.93085E-005   1.32252E-004   6.49582E-005   8.12772E-005   5.94207E-005   5.56994E-005   6.21737E-005   1.00128E-004   1.23015E-004   3.47143E-005   1.25164E-004  -1.02612E-004   2.74625E-004
-1.67521E+001   8.72010E-005   7.35109E-005   4.15146E-005   5.12307E-005   3.31072E-005   3.92845E-005   3.35488E-005   7.62596E-005   1.40021E-005   9.12319E-005   1.00981E-004   6.99807E-005   5.07222E-006   4.13972E-005  -1.80027E-005   4.89098E-005   2.54192E-005   5.16012E-005  -7.22868E-005   3.48795E-005  -4.99154E-005   5.33149E-005  -4.94831E-005   5.03174E-005   3.24852E-005   5.98186E-005  -1.14350E-004   1.07891E-004  -1.45816E-004   1.13050E-004  -2.98627E-004   2.58687E-004
-1.66545E+001   1.09990E-004   8.10228E-005   8.32166E-005   5.67632E-005  -6.29974E-006   4.21777E-005  -4.58749E-005   8.05219E-005   7.68594E-005   1.03373E-004   9.21460E-005   7.61364E-005  -1.23440E-004   3.65737E-005  -1.04948E-005   5.40150E-005  -4.34272E-006   5.44944E-005  -5.39796E-005   3.95295E-005  -1.34818E-004   5.20246E-005   5.37808E-005   6.22629E-005  -7.11357E-006   6.28612E-005  -2.40921E-005   1.24375E-004   1.53743E-004   1.41710E-004  -1.07834E-004   2.95475E-004
-1.65568E+001   1.38168E-004   8.41657E-005  -5.78842E-005   5.61335E-005   2.41246E-005   4.41352E-005   3.92740E-005   8.62670E-005  -7.76354E-005   9.75017E-005   4.22208E-005   7.54292E-005  -1.78958E-005   4.52418E-005  -3.93497E-005   5.37834E-005  -8.17401E-006   5.58994E-005  -1.00679E-005   4.39573E-005   1.50193E-004   7.31998E-005   5.19944E-005   6.40332E-005  -7.43154E-005   5.99273E-005   3.75986E-006   1.30132E-004  -1.69410E-004   1.26006E-004  -5.06910E-004   2.77422E-004
-1.64591E+001   1.33502E-004   8.39757E-005   2.91474E-005   5.75072E-005  -8.98402E-005   4.14761E-005   1.69446E-004   9.10080E-005   4.53011E-005   1.04610E-004   1.35147E-004   8.09874E-005   4.62893E-005   4.92193E-005  -3.49506E-005   5.39179E-005   4.21050E-005   5.93065E-005   1.05951E-005   4.53137E-005   5.01834E-005   6.69561E-005   3.68655E-005   6.29492E-005  -1.77292E-005   6.38995E-005   1.55821E-004   1.40170E-004  -5.41001E-005   1.33153E-004   2.80575E-004   3.28692E-004
-1.63614E+001   1.91073E-004   8.42870E-005   5.29201E-005   5.71574E-005   5.61863E-005   4.41909E-005   8.55680E-005   8.67806E-005   1.02083E-004   1.06504E-004  -5.52371E-005   6.79958E-005   6.82821E-005   4.99256E-005  -3.56836E-005   5.31284E-005   1.64946E-005   5.67915E-005   5.90621E-005   4.79624E-005  -1.09162E-004   5.45742E-005  -7.77781E-005   5.35421E-005  -4.60630E-005   6.09646E-005   4.74545E-004   1.57794E-004   9.60029E-005   1.40700E-004   7.02344E-005   3.11368E-004
-1.62637E+001   1.09077E-004   8.88565E-005  -7.16390E-005   5.93773E-005  -9.42388E-006   4.61388E-005  -4.51939E-005   8.82033E-005  -2.52378E-006   1.08423E-004   7.59226E-006   7.79158E-005  -1.09243E-004   4.09487E-005   1.41675E-005   6.09016E-005   5.78222E-005   6.43604E-005   2.83050E-005   4.95872E-005   1.05492E-005   6.84777E-005  -1.22693E-004   5.36894E-005  -6.10567E-005   6.45760E-005  -4.64786E-005   1.34497E-004  -4.10875E-005   1.42682E-004   1.59227E-004   3.42220E-004
-1.61661E+001   2.37312E-005   8.86172E-005   1.40921E-005   6.24206E-005  -1.85077E-005   4.69969E-005   1.88516E-005   9.30700E-005  -5.95566E-005   1.07126E-004   1.50789E-005   8.02878E-005  -8.29348E-006   4.98824E-005   1.15177E-005   6.21492E-005   1.89449E-004   7.50152E-005   8.79282E-006   4.92782E-005  -2.87354E-005   6.70173E-005   2.12739E-005   6.74586E-005   5.29348E-006   7.14613E-005   4.49773E-005   1.44799E-004   2.44172E-004   1.65103E-004   1.98390E-004   3.53038E-004
-1.60684E+001   9.02299E-005   8.06792E-005  -2.17568E-006   5.53876E-005  -2.87493E-005   4.16743E-005   1.64734E-004   8.84808E-005  -5.05451E-005   9.60499E-005   1.03745E-004   7.71031E-005   5.08479E-005   4.82083E-005   8.81864E-006   5.52561E-005  -2.96846E-005   5.26357E-005   4.08460E-005   4.61250E-005  -3.74352E-005   5.91113E-005   8.72585E-005   6.47017E-005   6.34632E-005   6.76995E-005   2.57940E-004   1.43041E-004   9.78099E-005   1.38826E-004  -1.20586E-004   2.94361E-004
-1.59707E+001   1.22623E-004   9.03972E-005   8.40761E-005   6.30815E-005  -3.54692E-005   4.60653E-005   7.85792E-005   9.46339E-005   7.56490E-005   1.14872E-004   5.12763E-005   8.19997E-005   2.92633E-005   5.20186E-005   1.45167E-004   7.04201E-005   2.47940E-005   6.27466E-005   9.97397E-006   4.88555E-005   3.71565E-005   7.13706E-005   7.56047E-005   7.09373E-005   6.24012E-005   7.50443E-005  -6.12094E-005   1.34952E-004  -2.69165E-004   1.27128E-004  -3.65017E-005   3.32756E-004
-1.58730E+001   5.16969E-006   8.57672E-005   1.17952E-004   6.27106E-005   8.94784E-006   4.64200E-005   1.29332E-004   9.52447E-005   8.05990E-005   1.13391E-004   3.40172E-005   7.95216E-005   5.36713E-005   5.28619E-005  -3.41558E-005   5.71759E-005   1.73977E-006   5.99632E-005   8.07147E-005   5.32336E-005   1.15595E-004   7.58483E-005   8.15458E-006   6.46677E-005  -8.39325E-005   6.22427E-005  -1.11182E-004   1.28627E-004   4.33356E-004   1.72546E-004   6.55489E-004   3.74257E-004
-1.57753E+001   2.88657E-005   8.86902E-005   7.09557E-005   6.34709E-005  -2.48332E-006   4.73409E-005   1.36220E-004   9.80889E-005  -4.78637E-005   1.07684E-004  -4.06162E-005   7.60069E-005  -6.36361E-006   4.99498E-005  -6.83434E-005   5.58922E-005   8.19620E-005   6.77994E-005  -6.33344E-005   4.31028E-005   1.57427E-004   8.08556E-005   1.16962E-004   7.48688E-005  -8.68642E-006   7.02568E-005   1.79176E-004   1.54996E-004  -1.62092E-005   1.47583E-004   3.20921E-004   3.61838E-004
-1.56777E+001  -4.73045E-005   8.36155E-005   7.89672E-005   6.15186E-005   7.60012E-005   4.76844E-005   3.44484E-005   9.05867E-005   1.98967E-004   1.19800E-004   2.03350E-004   9.00321E-005  -5.69745E-005   4.44625E-005  -1.25823E-004   4.92802E-005  -8.08783E-005   5.25358E-005  -5.74039E-005   4.22040E-005  -3.78142E-005   6.39158E-005   1.13592E-004   7.21394E-005  -8.08281E-005   6.19443E-005  -1.47915E-004   1.24404E-004  -6.47866E-005   1.39239E-004   6.19069E-004   3.69447E-004
-1.55800E+001  -1.13248E-005   8.74466E-005   3.66811E-005   6.27450E-005   1.17594E-005   4.76611E-005   5.01201E-005   9.42902E-005  -1.97897E-005   1.09550E-004   1.59206E-004   9.01830E-005  -1.48723E-005   4.92589E-005  -3.27365E-005   5.86924E-005   1.00691E-005   6.21513E-005   3.79749E-005   5.14775E-005  -5.47520E-005   6.46021E-005   3.84233E-005   6.87689E-005  -1.02149E-004   6.20492E-005   3.93428E-005   1.44182E-004  -1.91050E-004   1.34112E-004   1.00921E-005   3.39060E-004
-1.54823E+001  -2.56935E-005   8.42649E-005   1.43953E-005   6.03273E-005   3.54692E-006   4.59431E-005   5.28490E-005   9.14015E-005   5.29660E-005   1.10833E-004  -2.06774E-005   7.50199E-005   4.73191E-006   4.91182E-005  -7.59343E-006   5.86993E-005  -6.36049E-005   5.41020E-005  -2.20081E-005   4.52032E-005   1.36208E-004   7.67519E-005  -1.56528E-006   6.34081E-005   6.79981E-005   7.37864E-005  -2.15531E-004   1.18567E-004   3.09076E-005   1.46037E-004   4.18651E-004   3.56456E-004
-1.53846E+001   1.22738E-004   9.37373E-005  -6.83732E-005   6.23025E-005   6.05015E-006   4.88034E-005  -2.18540E-006   9.44602E-005   2.52529E-005   1.15684E-004  -6.44040E-005   7.60619E-005   9.87423E-005   5.88301E-005   1.33907E-004   7.24358E-005  -4.59400E-008   6.29875E-005   9.86244E-005   5.74343E-005  -3.32286E-005   6.82193E-005   9.77464E-005   7.53614E-005   1.11673E-004   8.16212E-005   1.39422E-004   1.56016E-004   6.09691E-005   1.57113E-004  -2.33908E-004   3.29022E-004
-1.52869E+001  -5.59338E-005   1.00462E-004   1.22684E-004   7.51025E-005   3.76712E-005   5.63460E-005  -1.84930E-004   9.72232E-005  -7.01005E-006   1.28789E-004  -2.39251E-004   6.82034E-005  -3.26036E-005   5.58532E-005  -2.35901E-005   6.92798E-005   1.05267E-004   8.09717E-005   7.28292E-005   6.30457E-005   1.54293E-004   9.39249E-005  -4.79637E-005   7.16902E-005   1.25965E-004   9.38475E-005   8.51592E-005   1.72306E-004  -1.85111E-004   1.56989E-004  -4.16124E-004   3.56526E-004
-1.51893E+001   2.29257E-004   9.05394E-005   2.59648E-005   6.00974E-005   4.47093E-005   4.66070E-005   1.32476E-004   9.40472E-005  -2.94955E-005   1.04615E-004  -1.89313E-005   7.45733E-005  -2.21573E-005   4.67905E-005   1.92422E-005   6.01832E-005   3.15395E-005   6.13896E-005  -2.09555E-005   4.49340E-005   1.36724E-004   7.62950E-005   9.16712E-005   7.00992E-005  -2.73530E-005   6.59514E-005   6.36222E-005   1.40414E-004  -2.45276E-004   1.24530E-004   1.88463E-004   3.38434E-004
-1.50916E+001   6.13922E-005   8.86356E-005   7.69756E-005   6.28912E-005   5.31576E-005   4.82191E-005   1.70331E-004   9.84726E-005   6.90696E-005   1.14407E-004  -1.91846E-005   7.67834E-005  -1.53306E-005   4.87096E-005  -5.93411E-006   6.01237E-005  -4.05815E-005   5.72726E-005   1.06862E-004   5.59787E-005   1.64173E-004   8.05087E-005  -6.28355E-006   6.44203E-005  -1.06671E-005   6.93045E-005   5.98353E-005   1.44346E-004   4.27695E-005   1.50157E-004   1.05758E-004   3.42649E-004
-1.49939E+001   4.34003E-005   8.67003E-005   4.18063E-005   6.12042E-005   1.22537E-004   4.91399E-005   1.26838E-004   9.51372E-005   6.13539E-005   1.12090E-004   3.44493E-005   7.94816E-005  -1.76557E-005   4.77229E-005   4.42815E-005   6.27940E-005  -7.19732E-005   5.35015E-005   3.48993E-006   4.74960E-005  -2.49900E-005   6.52904E-005  -1.98750E-005   6.22072E-005   3.07969E-005   7.14769E-005   1.40162E-004   1.48161E-004   5.46850E-005   1.48579E-004  -6.09521E-005   3.24817E-004
-1.48962E+001  -8.81407E-005   9.55503E-005  -7.40526E-006   6.94607E-005  -5.04471E-005   5.16547E-005  -4.55632E-005   1.00968E-004   5.68751E-005   1.28925E-004  -8.46726E-005   8.10917E-005   3.06745E-005   5.91348E-005  -3.01007E-005   6.60484E-005  -5.01227E-005   6.39231E-005  -3.77441E-005   5.07979E-005   2.43531E-005   7.98323E-005  -1.02576E-005   7.26670E-005  -6.69768E-005   7.30517E-005   1.53443E-004   1.72034E-004  -1.95638E-004   1.49667E-004  -2.42660E-004   3.58281E-004
-1.47985E+001   1.39324E-004   8.87135E-005   5.52273E-005   6.09782E-005   3.48177E-005   4.66205E-005   8.56770E-005   9.26817E-005  -5.92330E-005   1.02956E-004   8.79891E-005   8.26709E-005   3.82003E-005   5.14259E-005  -1.09519E-004   5.02020E-005  -8.59976E-005   5.16523E-005   3.06640E-005   4.92553E-005  -7.23029E-005   6.06777E-005  -3.54722E-005   6.03087E-005   1.37545E-004   7.88802E-005   2.03834E-005   1.37835E-004   9.04619E-005   1.49926E-004   4.12574E-004   3.56251E-004
-1.47009E+001   8.32469E-005   8.65662E-005   1.22857E-004   6.18688E-005   7.14213E-005   4.72209E-005   2.66979E-005   8.94991E-005  -8.13445E-005   1.00682E-004   5.88824E-005   8.00956E-005  -4.47576E-005   4.48750E-005  -1.12391E-004   4.96016E-005  -1.16314E-005   5.78668E-005   2.72310E-005   4.86661E-005  -1.66764E-006   6.61847E-005   1.08421E-004   7.14435E-005  -4.49136E-005   6.42674E-005  -1.85056E-004   1.19445E-004   1.40480E-004   1.52347E-004   1.42717E-004   3.34974E-004
-1.46032E+001   1.05087E-004   9.99090E-005  -4.93804E-005   6.70321E-005   1.06435E-004   5.51051E-005  -6.67019E-005   9.76678E-005  -2.99557E-006   1.21657E-004  -1.13437E-004   7.64524E-005  -1.13050E-004   4.46142E-005  -1.83147E-005   6.56540E-005   1.43611E-005   6.87471E-005   4.22453E-005   5.71001E-005  -3.27840E-005   7.28928E-005   1.01057E-004   8.13014E-005   1.09037E-004   8.75350E-005   9.13876E-005   1.63288E-004  -5.66378E-005   1.58550E-004  -4.32017E-004   3.32547E-004
-1.45055E+001   1.13062E-004   8.60084E-005   1.52009E-005   5.88067E-005   1.05550E-005   4.49445E-005   1.54768E-005   8.75370E-005  -1.19411E-004   9.61018E-005   9.39937E-005   8.12936E-005  -5.25915E-008   4.75191E-005   3.46812E-006   5.79840E-005  -2.28193E-007   5.78325E-005  -8.77954E-006   4.50293E-005   1.57072E-004   7.67758E-005  -3.66820E-005   5.87417E-005  -4.22523E-005   6.33554E-005  -7.08934E-005   1.27183E-004   1.50182E-006   1.40302E-004   1.98860E-004   3.33642E-004
-1.44078E+001   1.40927E-004   8.61071E-005   8.56225E-005   5.97034E-005   2.26705E-005   4.48957E-005   2.16835E-005   8.71207E-005  -2.60001E-005   1.02008E-004   1.09970E-005   7.47832E-005   5.99339E-005   5.14011E-005   7.66536E-005   6.27208E-005   1.52753E-005   5.86291E-005   1.79393E-005   4.68055E-005  -3.43846E-005   6.18985E-005  -7.04159E-005   5.52184E-005   5.10071E-005   7.03539E-005   1.77068E-004   1.45531E-004   9.24335E-005   1.45577E-004  -3.88294E-004   2.86284E-004
-1.43101E+001   4.38640E-005   9.59346E-005   1.22329E-004   6.94918E-005   9.97559E-005   5.38457E-005   1.89361E-004   1.08454E-004   1.08794E-004   1.27680E-004   7.89404E-005   9.16370E-005  -4.59909E-005   5.01285E-005  -5.26188E-005   6.11680E-005  -3.64853E-005   6.24688E-005  -5.63879E-005   4.66534E-005  -1.28842E-004   6.13995E-005   2.79014E-006   7.09046E-005   9.17728E-005   8.44698E-005   1.44616E-004   1.64724E-004  -1.90044E-004   1.43307E-004   1.26486E-003   4.60276E-004
