#'Trial 10: e = [-1.5, 1.5] with 2251 points and sig = 0.035'
#
#Laurentian,Gaussian,Convoluted Data,Convoluted Data with noise
1.414647732028757269e-03,0.000000000000000000e+00,7.456220740218503194e-04,7.485924717627074221e-04
1.417165906429745459e-03,0.000000000000000000e+00,7.684589673904556857e-04,7.874972665153933717e-04
1.419690810516395030e-03,0.000000000000000000e+00,7.912910733824732312e-04,7.810266951716596977e-04
1.422222468289359009e-03,0.000000000000000000e+00,8.140875054911000551e-04,8.556000120539979711e-04
1.424760903856376422e-03,0.000000000000000000e+00,8.368176591156805538e-04,8.099344582382624405e-04
1.427306141432849737e-03,0.000000000000000000e+00,8.594513432981918570e-04,8.028245771309687169e-04
1.429858205342421666e-03,0.000000000000000000e+00,8.819589093226444868e-04,8.987897513318387479e-04
1.432417120017554554e-03,0.000000000000000000e+00,9.043113752672924830e-04,8.682108046843493290e-04
1.434982910000116071e-03,0.000000000000000000e+00,9.264805456408671579e-04,9.380449601658956502e-04
1.437555599941969667e-03,0.000000000000000000e+00,9.484391252838362879e-04,9.748935522356703921e-04
1.440135214605563077e-03,0.000000000000000000e+00,9.701608267733074446e-04,9.910692894293229773e-04
1.442721778864525933e-03,0.000000000000000000e+00,9.916204706348888311e-04,1.001136957231207620e-03
1.445315317704270845e-03,0.000000000000000000e+00,1.012794077735782675e-03,1.025274919770076572e-03
1.447915856222593183e-03,0.000000000000000000e+00,1.033658953309713521e-03,1.025052840093157620e-03
1.450523419630281264e-03,0.000000000000000000e+00,1.054193762145028438e-03,1.055253776677709697e-03
1.453138033251726545e-03,0.000000000000000000e+00,1.074378594551460980e-03,1.098778453453555862e-03
1.455759722525537493e-03,0.000000000000000000e+00,1.094195022807595719e-03,1.050283723366243803e-03
1.458388513005159318e-03,0.000000000000000000e+00,1.113626147878972895e-03,1.088469265710850569e-03
1.461024430359496740e-03,0.000000000000000000e+00,1.132656636284979246e-03,1.152942362242065887e-03
1.463667500373539354e-03,0.000000000000000000e+00,1.151272747080202665e-03,1.157802273299283471e-03
1.466317748948992852e-03,0.000000000000000000e+00,1.169462349001744624e-03,1.092416478097577503e-03
1.468975202104915237e-03,0.000000000000000000e+00,1.187214927917189071e-03,1.172548564454832520e-03
1.471639885978351728e-03,0.000000000000000000e+00,1.204521584787608592e-03,1.193082618688242388e-03
1.474311826824980295e-03,0.000000000000000000e+00,1.221375024435339190e-03,1.240007311828476236e-03
1.476991051019758928e-03,0.000000000000000000e+00,1.237769535476523908e-03,1.217312845220317255e-03
1.479677585057573123e-03,0.000000000000000000e+00,1.253700961842979999e-03,1.302220939100917890e-03
1.482371455553892908e-03,0.000000000000000000e+00,1.269166666376211547e-03,1.236736254594106863e-03
1.485072689245434422e-03,0.000000000000000000e+00,1.284165487027897484e-03,1.373799385861230755e-03
1.487781312990817378e-03,0.000000000000000000e+00,1.298697686245597806e-03,1.254179360019155995e-03
1.490497353771239215e-03,0.000000000000000000e+00,1.312764894159472928e-03,1.335771761409962994e-03
1.493220838691141890e-03,0.000000000000000000e+00,1.326370046215335921e-03,1.354652603820267467e-03
1.495951794978889931e-03,0.000000000000000000e+00,1.339517315921322444e-03,1.355470398039489068e-03
1.498690249987452835e-03,0.000000000000000000e+00,1.352212043389916431e-03,1.355430564276872973e-03
1.501436231195086603e-03,0.000000000000000000e+00,1.364460660364128245e-03,1.390264826705374076e-03
1.504189766206024802e-03,0.000000000000000000e+00,1.376270612416556887e-03,1.367524407639411545e-03
1.506950882751172463e-03,0.000000000000000000e+00,1.387650279003145928e-03,1.435831348402117529e-03
1.509719608688802998e-03,0.000000000000000000e+00,1.398608892040096923e-03,1.359456158382458613e-03
1.512495972005262288e-03,0.000000000000000000e+00,1.409156453653025902e-03,1.379545140359696338e-03
1.515280000815675144e-03,0.000000000000000000e+00,1.419303653722603191e-03,1.424489704577706429e-03
1.518071723364657413e-03,0.000000000000000000e+00,1.429061787821128996e-03,1.384903228038689539e-03
1.520871168027030252e-03,0.000000000000000000e+00,1.438442676100315770e-03,1.440604850940140893e-03
1.523678363308545673e-03,0.000000000000000000e+00,1.447458583652663951e-03,1.517230426300733483e-03
1.526493337846606888e-03,0.000000000000000000e+00,1.456122142827789758e-03,1.408252067705643854e-03
1.529316120411001231e-03,0.000000000000000000e+00,1.464446277941549657e-03,1.468567951347896127e-03
1.532146739904637197e-03,0.000000000000000000e+00,1.472444132770453539e-03,1.451416088674463683e-03
1.534985225364279750e-03,0.000000000000000000e+00,1.480129001177222766e-03,1.505316958845638120e-03
1.537831605961297553e-03,0.000000000000000000e+00,1.487514261166145461e-03,1.463222393033669763e-03
1.540685911002413451e-03,0.000000000000000000e+00,1.494613312619517834e-03,1.469167088773786238e-03
1.543548169930456047e-03,0.000000000000000000e+00,1.501439518919627999e-03,1.477949474937029694e-03
1.546418412325120803e-03,0.000000000000000000e+00,1.508006152614844693e-03,1.441539024393106170e-03
1.549296667903734192e-03,0.000000000000000000e+00,1.514326345243879792e-03,1.573331515956615185e-03
1.552182966522021963e-03,0.000000000000000000e+00,1.520413041389651445e-03,1.595683825332415992e-03
1.555077338174883257e-03,0.000000000000000000e+00,1.526278956993686823e-03,1.573761658352135738e-03
1.557979812997171455e-03,0.000000000000000000e+00,1.531936541924013061e-03,1.458667847257683146e-03
1.560890421264476751e-03,0.000000000000000000e+00,1.537397946754219102e-03,1.553408103982284634e-03
1.563809193393915454e-03,0.000000000000000000e+00,1.542674993679061298e-03,1.606125022519776322e-03
1.566736159944927742e-03,0.000000000000000000e+00,1.547779151462734494e-03,1.579813972543287880e-03
1.569671351620073032e-03,0.000000000000000000e+00,1.552721514289901210e-03,1.586012933078237647e-03
1.572614799265837065e-03,0.000000000000000000e+00,1.557512784366736755e-03,1.577703855226895557e-03
1.575566533873444834e-03,0.000000000000000000e+00,1.562163258099706414e-03,1.534712606813855599e-03
1.578526586579671138e-03,0.000000000000000000e+00,1.566682815663431776e-03,1.527913534316300290e-03
1.581494988667665877e-03,0.000000000000000000e+00,1.571080913755781632e-03,1.538317387033467107e-03
