#Trial 6: e = [-1.5, 1.5] with 2251 points and sig = 0.001
#
#Laurentian,Gaussian,Convoluted Data,Convoluted Data with noise
1.414647732028757269e-03,0.000000000000000000e+00,1.084215693196772905e-03,1.085015002910826032e-03
1.417165906429745459e-03,0.000000000000000000e+00,1.395501542861335691e-03,1.419644078044319342e-03
1.419690810516395030e-03,0.000000000000000000e+00,1.419482995411963915e-03,1.429358627720783703e-03
1.422222468289359009e-03,0.000000000000000000e+00,1.422266717359398818e-03,1.428592312236058636e-03
1.424760903856376422e-03,0.000000000000000000e+00,1.424805736343898741e-03,1.418721617974868501e-03
1.427306141432849737e-03,0.000000000000000000e+00,1.427351057599896738e-03,1.437469805048142112e-03
1.429858205342421666e-03,0.000000000000000000e+00,1.429903205257452908e-03,1.429306140981552366e-03
1.432417120017554554e-03,0.000000000000000000e+00,1.432462203917690040e-03,1.378384277761731010e-03
1.434982910000116071e-03,0.000000000000000000e+00,1.435028078123390437e-03,1.514865393371659470e-03
1.437555599941969667e-03,0.000000000000000000e+00,1.437600852527326110e-03,1.407530533127977681e-03
1.440135214605563077e-03,0.000000000000000000e+00,1.440180551892857909e-03,1.505617758466717060e-03
1.442721778864525933e-03,0.000000000000000000e+00,1.442767201094533784e-03,1.484847261037015214e-03
1.445315317704270845e-03,0.000000000000000000e+00,1.445360825118688786e-03,1.409578070177037231e-03
1.447915856222593183e-03,0.000000000000000000e+00,1.447961449064044193e-03,1.481273868858899940e-03
1.450523419630281264e-03,0.000000000000000000e+00,1.450569098142320736e-03,1.445678161989540642e-03
1.453138033251726545e-03,0.000000000000000000e+00,1.453183797678844020e-03,1.450929232754755681e-03
1.455759722525537493e-03,0.000000000000000000e+00,1.455805573113164251e-03,1.491177980954648888e-03
1.458388513005159318e-03,0.000000000000000000e+00,1.458434449999671196e-03,1.426775304944938576e-03
1.461024430359496740e-03,0.000000000000000000e+00,1.461070454008217600e-03,1.416657010702718862e-03
1.463667500373539354e-03,0.000000000000000000e+00,1.463713610924748240e-03,1.476639466832747882e-03
1.466317748948992852e-03,0.000000000000000000e+00,1.466363946651927678e-03,1.440457202204474324e-03
1.468975202104915237e-03,0.000000000000000000e+00,1.469021487209776471e-03,1.409533764022960489e-03
1.471639885978351728e-03,0.000000000000000000e+00,1.471686258736308031e-03,1.438590364189303505e-03
1.474311826824980295e-03,0.000000000000000000e+00,1.474358287488173941e-03,1.546612658808499668e-03
1.476991051019758928e-03,0.000000000000000000e+00,1.477037599841308189e-03,1.534507830675453178e-03
1.479677585057573123e-03,0.000000000000000000e+00,1.479724222291579211e-03,1.593092450646038660e-03
1.482371455553892908e-03,0.000000000000000000e+00,1.482418181455444524e-03,1.492753148764731745e-03
1.485072689245434422e-03,0.000000000000000000e+00,1.485119504070611012e-03,1.518619589395117262e-03
1.487781312990817378e-03,0.000000000000000000e+00,1.487828216996697154e-03,1.543428598439026750e-03
1.490497353771239215e-03,0.000000000000000000e+00,1.490544347215899809e-03,1.584577242572765034e-03
1.493220838691141890e-03,0.000000000000000000e+00,1.493267921833668589e-03,1.474257485844576460e-03
1.495951794978889931e-03,0.000000000000000000e+00,1.495998968079379800e-03,1.487035821525030345e-03
1.498690249987452835e-03,0.000000000000000000e+00,1.498737513307018838e-03,1.587760790252713437e-03
1.501436231195086603e-03,0.000000000000000000e+00,1.501483584995863454e-03,1.523001407833460318e-03
1.504189766206024802e-03,0.000000000000000000e+00,1.504237210751173523e-03,1.567826433205176838e-03
1.506950882751172463e-03,0.000000000000000000e+00,1.506998418304886234e-03,1.489618425377861035e-03
1.509719608688802998e-03,0.000000000000000000e+00,1.509767235516311281e-03,1.426830555216162567e-03
1.512495972005262288e-03,0.000000000000000000e+00,1.512543690372836463e-03,1.456563270423888922e-03
1.515280000815675144e-03,0.000000000000000000e+00,1.515327810990634147e-03,1.453133855284689108e-03
1.518071723364657413e-03,0.000000000000000000e+00,1.518119625615371206e-03,1.484074483087544300e-03
1.520871168027030252e-03,0.000000000000000000e+00,1.520919162622927845e-03,1.483670445675833779e-03
1.523678363308545673e-03,0.000000000000000000e+00,1.523726450520117509e-03,1.533684797724405198e-03
1.526493337846606888e-03,0.000000000000000000e+00,1.526541517945411135e-03,1.450126080540364891e-03
1.529316120411001231e-03,0.000000000000000000e+00,1.529364393669671368e-03,1.573282056961322443e-03
1.532146739904637197e-03,0.000000000000000000e+00,1.532195106596882231e-03,1.574775381021010796e-03
1.534985225364279750e-03,0.000000000000000000e+00,1.535033685764895491e-03,1.504746748421001553e-03
1.537831605961297553e-03,0.000000000000000000e+00,1.537880160346167483e-03,1.511994989940761971e-03
1.540685911002413451e-03,0.000000000000000000e+00,1.540734559648516966e-03,1.533038844623922257e-03
1.543548169930456047e-03,0.000000000000000000e+00,1.543596913115872354e-03,1.523675145415194151e-03
1.546418412325120803e-03,0.000000000000000000e+00,1.546467250329035432e-03,1.381123443599646325e-03
1.549296667903734192e-03,0.000000000000000000e+00,1.549345601006443546e-03,1.519124906966527440e-03
1.552182966522021963e-03,0.000000000000000000e+00,1.552231995004939823e-03,1.561411437391981537e-03
1.555077338174883257e-03,0.000000000000000000e+00,1.555126462320545987e-03,1.543021793324245161e-03
1.557979812997171455e-03,0.000000000000000000e+00,1.558029033089243639e-03,1.638391464664157738e-03
1.560890421264476751e-03,0.000000000000000000e+00,1.560939737587756400e-03,1.607001474194590541e-03
1.563809193393915454e-03,0.000000000000000000e+00,1.563858606234341158e-03,1.564745301219308375e-03
1.566736159944927742e-03,0.000000000000000000e+00,1.566785669589583442e-03,1.572023801904057130e-03
1.569671351620073032e-03,0.000000000000000000e+00,1.569720958357192575e-03,1.523995878522280091e-03
1.572614799265837065e-03,0.000000000000000000e+00,1.572664503384813093e-03,1.561083851083018082e-03
1.575566533873444834e-03,0.000000000000000000e+00,1.575616335664831169e-03,1.576052636699228158e-03
1.578526586579671138e-03,0.000000000000000000e+00,1.578576486335191891e-03,1.604599045814434233e-03
1.581494988667665877e-03,0.000000000000000000e+00,1.581544986680219131e-03,1.602382650894952588e-03
1.584471771567779125e-03,0.000000000000000000e+00,1.584521868131443445e-03,1.577523677816322330e-03
1.587456966858392720e-03,0.000000000000000000e+00,1.587507162268433436e-03,1.548534771114332608e-03
1.590450606266757046e-03,0.000000000000000000e+00,1.590500900819632980e-03,1.625434180935163807e-03
1.593452721669837147e-03,0.000000000000000000e+00,1.593503115663204728e-03,1.506538124665190905e-03
1.596463345095156666e-03,0.000000000000000000e+00,1.596513838827877960e-03,1.630311078064586435e-03
1.599482508721655240e-03,0.000000000000000000e+00,1.599533102493803146e-03,1.575971046813890233e-03
1.602510244880548697e-03,0.000000000000000000e+00,1.602560938993413025e-03,1.610884870610212755e-03
