     X         I1 (Y=0.3254)     Error1      I2 (Y=0.4002)     Error2      I3 (Y=0.4999)     Error3      I4 (Y=0.5963)     Error4      I5 (Y=0.6986)     Error5      I6 (Y=0.7998)     Error6      I7 (Y=0.9002)     Error7       I8 (Y=1.000)     Error8       I9 (Y=1.100)     Error9      I10 (Y=1.200)    Error10      I11 (Y=1.300)    Error11      I12 (Y=1.400)    Error12      I13 (Y=1.500)    Error13      I14 (Y=1.600)    Error14      I15 (Y=1.700)    Error15      I16 (Y=1.801)    Error16      I17 (Y=1.901)    Error17      I18 (Y=2.001)    Error18      I19 (Y=2.075)    Error19    
-1.99420E+000  -1.00000E+020  -1.00000E+000   4.83130E+000   2.40723E+000   1.46694E+000   1.26030E+000   2.02187E-001   2.41216E-001   8.00303E-002   3.55731E-002   4.67970E-002   3.03013E-002   5.04446E-002   3.39052E-002   3.88172E-002   2.98020E-002   8.49551E-002   4.42051E-002   1.22213E-001   5.33895E-002   1.11431E-001   5.01689E-002   1.11455E-001   4.84735E-002   1.23921E-001   5.08228E-002   1.64554E-001   5.91539E-002   2.03357E-001   6.60628E-002   1.26699E-001   5.07864E-002   1.20480E-001   4.78570E-002   1.69017E-001   6.30148E-002   2.41374E-001   8.95928E-002
-1.97842E+000  -1.00000E+020  -1.00000E+000   4.25362E+000   2.11809E+000   1.95983E+000   1.31660E+000   3.31224E-001   3.83581E-001   1.00580E-001   3.99255E-002   6.50724E-002   3.34849E-002   7.43903E-002   4.02037E-002   8.42381E-002   4.41330E-002   9.65411E-002   4.74184E-002   1.17698E-001   5.21612E-002   1.37107E-001   5.58312E-002   1.31577E-001   5.29318E-002   1.15051E-001   4.90950E-002   1.14928E-001   4.95033E-002   1.49975E-001   5.63920E-002   1.41247E-001   5.29564E-002   1.34440E-001   5.05190E-002   1.40867E-001   5.64852E-002   1.66764E-001   7.38774E-002
-1.96270E+000  -1.00000E+020  -1.00000E+000   4.17665E+000   2.06076E+000   1.78365E+000   1.19414E+000   3.30323E-001   3.72239E-001   8.85689E-002   3.46173E-002   7.66089E-002   3.73653E-002   1.21748E-001   5.25803E-002   1.35732E-001   5.61538E-002   1.16146E-001   5.22295E-002   1.26474E-001   5.40115E-002   1.33971E-001   5.43486E-002   1.25557E-001   5.26861E-002   1.23775E-001   5.12247E-002   1.06002E-001   4.72072E-002   1.41437E-001   5.37306E-002   1.43650E-001   5.34892E-002   1.54689E-001   5.36273E-002   1.26931E-001   5.32363E-002   1.22427E-001   6.24839E-002
-1.94705E+000  -1.00000E+020  -1.00000E+000   2.56089E+000   1.56097E+000   1.21288E+000   9.10394E-001   2.34713E-001   2.54629E-001   5.56705E-002   2.69844E-002   6.68003E-002   3.46406E-002   7.63196E-002   4.15153E-002   1.01762E-001   4.88164E-002   1.46044E-001   5.84611E-002   1.48145E-001   5.84316E-002   1.56632E-001   5.88903E-002   1.17797E-001   5.14890E-002   9.33897E-002   4.48457E-002   1.04402E-001   4.67281E-002   1.22497E-001   5.00935E-002   1.61040E-001   5.60006E-002   1.37090E-001   5.09823E-002   1.53041E-001   5.84236E-002   1.83702E-001   7.71816E-002
-1.93149E+000  -1.00000E+020  -1.00000E+000   1.36205E+000   1.09152E+000   7.38465E-001   6.59978E-001   1.74889E-001   2.23366E-001   6.30720E-002   2.97166E-002   6.74125E-002   3.33874E-002   7.41315E-002   4.04195E-002   8.89269E-002   4.59504E-002   1.27442E-001   5.44111E-002   1.48536E-001   5.77216E-002   1.56144E-001   5.99821E-002   1.35511E-001   5.58603E-002   9.73719E-002   4.60034E-002   1.03267E-001   4.62787E-002   1.39865E-001   5.39657E-002   1.70950E-001   5.80439E-002   1.51228E-001   5.42192E-002   1.60494E-001   6.05737E-002   1.76757E-001   7.61615E-002
-1.91598E+000   1.62932E+000   1.54221E+000   1.99998E+000   1.36387E+000   1.19442E+000   9.01489E-001   2.70191E-001   3.33444E-001   7.82776E-002   3.39444E-002   1.07770E-001   4.31305E-002   1.07662E-001   4.91000E-002   1.05316E-001   5.02371E-002   9.91474E-002   4.79107E-002   1.33502E-001   5.46698E-002   1.48378E-001   5.87674E-002   1.12675E-001   5.04900E-002   1.08442E-001   4.91106E-002   1.08543E-001   4.77245E-002   1.29267E-001   5.20325E-002   1.46551E-001   5.41419E-002   1.57511E-001   5.55847E-002   1.51161E-001   5.94734E-002   2.03268E-001   8.24057E-002
-1.90055E+000   1.02713E+000   1.10497E+000   2.69413E+000   1.63630E+000   1.63247E+000   1.08880E+000   3.37349E-001   3.53408E-001   7.96170E-002   3.44241E-002   1.07704E-001   4.45387E-002   1.31038E-001   5.47162E-002   9.42542E-002   4.74638E-002   8.94921E-002   4.54075E-002   1.45828E-001   5.86703E-002   1.40433E-001   5.76824E-002   1.14135E-001   5.03986E-002   1.18868E-001   5.07436E-002   1.20411E-001   5.09588E-002   1.17614E-001   5.02988E-002   1.43173E-001   5.38279E-002   1.35784E-001   5.15928E-002   1.74803E-001   6.31474E-002   2.01243E-001   8.05003E-002
-1.88519E+000   1.08539E+000   1.08510E+000   3.17206E+000   1.79647E+000   1.37492E+000   1.12799E+000   1.88375E-001   2.18866E-001   8.03794E-002   3.48060E-002   7.61984E-002   3.68413E-002   9.42154E-002   4.59087E-002   7.63944E-002   4.21127E-002   8.84302E-002   4.51786E-002   1.30986E-001   5.64301E-002   1.32867E-001   5.62464E-002   1.37809E-001   5.50049E-002   1.49137E-001   5.68130E-002   1.06691E-001   4.80228E-002   1.21492E-001   5.01279E-002   1.45347E-001   5.46548E-002   1.43883E-001   5.28231E-002   1.62761E-001   6.28679E-002   2.43938E-001   8.81598E-002
-1.86989E+000   1.31512E+000   1.24485E+000   4.40456E+000   2.29555E+000   1.43781E+000   1.24665E+000   9.31499E-002   5.12428E-002   7.99475E-002   3.50069E-002   1.16922E-001   4.51695E-002   1.10433E-001   4.94387E-002   1.40971E-001   5.66802E-002   1.03745E-001   4.95368E-002   1.23268E-001   5.46557E-002   1.44217E-001   5.82631E-002   1.35623E-001   5.50233E-002   1.22444E-001   5.18014E-002   9.83430E-002   4.61702E-002   1.19354E-001   4.98568E-002   1.20242E-001   4.91589E-002   1.38844E-001   5.23767E-002   1.63552E-001   6.29272E-002   2.44415E-001   9.12672E-002
-1.85467E+000   1.01294E+000   1.08209E+000   3.03378E+000   1.84905E+000   1.28929E+000   1.12127E+000   1.50115E-001   2.05754E-001   7.82289E-002   3.49806E-002   7.90527E-002   3.82362E-002   1.06527E-001   4.94547E-002   1.26610E-001   5.50493E-002   1.19315E-001   5.34110E-002   1.28156E-001   5.52510E-002   1.66984E-001   6.17147E-002   1.66609E-001   6.24327E-002   1.28571E-001   5.37206E-002   1.84013E-001   6.33850E-002   1.77635E-001   6.14003E-002   1.26260E-001   5.07881E-002   1.17172E-001   4.81046E-002   1.80303E-001   6.41183E-002   1.82683E-001   7.78456E-002
